,page.status_code,ID,Name,Price,Release_Date,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries,200,B0B1L638D3,"HP Pavilion Laptop (2022 Model), 17.3"" FHD IPS Display, Intel Core i3-1115G4 Processor, 16GB RAM, 256GB PCIe SSD, 1TB HDD, Anti-Glare Screen, Long Battery Life, Webcam, HDMI, Bluetooth, Wi-Fi, Win 11",$589.00,"May 17, 2022",17.3 Inches,Unnamed: 6,1920 x 1080 Pixels,4.1 GHz core_i3,16 GB DDR4,2666 MHz,256 GB SSD,Intel UHD Graphics,Intel,Integrated,"Bluetooth, 802.11a/b/g/n/ac",Unnamed: 16,Unnamed: 17,HP,Pavilion,Pavilion.1,PC,Windows 11,6.89 pounds,Unnamed: 24,Unnamed: 25,Natural Silver,Intel.1,2,DDR4 SDRAM,256 GB,PCIE x 4,Unnamed: 32,Unnamed: 33,Unnamed: 34
821,200.0,B09XNCT837,"2022 Newest Lenovo IdeaPad 3i Laptop, 15.6"" FHD Anti-Glare Display, Intel Core i3-1115G4 Processor, Intel UHD Graphics, 20GB DDR4 RAM, 1TB PCIe SSD, Fingerprint Reader, Windows 11",$499.00,"April 11, 2022",,,,,,,,,,,,,,,,IdeaPad,,,3.75 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,200.0,B0BLDQBWKW,"HP Pavilion 15-eg0053cl 15.6"" Laptop ntel Core i5 11th Gen 1135G7 2.4GHz 12GB DDR4 RAM; 512GB SSD Intel Iris Xe Graphics (Renewed)",Unavailable,"November 3, 2022",15.6 Inches,,1920 x 1080 Pixels,2.4 GHz core_i5_family,12 GB DDR4,,512 GB SSD,,Intel,Integrated,2.4 GHz Radio Frequency,2.0,,HP,HP Pavilion 15,15-eg0053cl,,Windows 10 Home,6.36 pounds,14.18 x 1 x 9.21 inches,,Silver,Intel,4.0,DDR4 SDRAM,12 GB,,CD-RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,200.0,B09ZL2B67W,"Dell Latitude 5000 5320 Laptop (2021) | 13.3"" FHD | Core i5 - 256GB SSD - 16GB RAM | 4 Cores @ 4.2 GHz - 11th Gen CPU Win 11 Pro (Renewed)",$529.99,"May 5, 2022",13.3 Inches,,1920x1080 MP,core_i5,16 GB DDR4,,256 GB SSD,Intel Integrated Graphics,Intel,Integrated,Bluetooth,,,Dell,Latitude 5320 Laptop,Latitude 5320 Laptop,PC,Windows 11 Pro,2.61 pounds,8.17 x 12.04 x 0.67 inches,,Black,Intel,4.0,DDR4 SDRAM,,Solid State,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,200.0,B089B5PVQJ,"Dell Latitude E7270 12.5-Inch Ultrabook - Intel Core i7-6600U 2.6GHz, 16GB RAM, 256GB SSD, Bluetooth, Webcam, Windows 10 Pro (Renewed)",$209.00,"May 28, 2020",12.5 Inches,,,2.6 GHz core_i7_6600u,16 GB,3.4 GHz,SSD,,Intel,,Bluetooth,,,Dell,Dell Latitude,Latitude E7270,,Windows 10 Pro,1.32 pounds,20.5 x 12.5 x 2.75 inches,,,Intel,2.0,SDRAM,256 GB,Solid State,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,200.0,B09Y1794BF,"ASUS ZenBook Laptop 14” 2.8K OLED Display, AMD Ryzen 7 5825U CPU, Radeon Graphics, 8GB RAM, 512GB PCIe SSD, Windows 11 Home, Jade Black, UM3402YA-DS71",$749.00,"April 14, 2022",14 Inches,,2880x1800,4.5 GHz ryzen_7,8 GB DDR4,,SSD,,AMD,Integrated,Bluetooth,1.0,,ASUS,ASUS ZenBook 14,UM3402YA-DS71,,Windows 11 Home,6 pounds,12.25 x 8.71 x 0.67 inches,,Jade Black,AMD,8.0,DDR4 SDRAM,512 GB,USB 3.2,No Drive,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,200.0,B08HWB94ZF,"2022 HP Stream 11.6 Inch HD Laptop, Intel Celeron N4000, 4GB RAM, 64GB eMMC, Webcam, Windows 10 S with Office 365 Personal for 1 Year (Google Classroom or Zoom Compatible) /Legendary Accesorries",$249.99,"September 12, 2020",11.6 Inches,,1366 x 768 Pixels,1.1 GHz celeron_n4000,4 GB DDR4,2.6 GHz,64 GB SSD,Intel UHD Graphics 600,Intel,Integrated,Bluetooth,,12 Hours,HP,HP 11 Stream,HP 11 Stream,PC,Windows 10,2.3 pounds,11.08 x 7.59 x 0.66 inches,,Silver,Intel,2.0,DDR4 SDRAM,64 GB,Solid State,,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,200.0,B07V6TGHZB,"Lenovo ThinkPad T460 14 Inch Laptop, Intel Core i5-6300U up to 3.0GHz, 16GB RAM, 1TB SSD, WiFi, BT, HDMI, Mini DP, Windows 10 64 Bit (Renewed)",$355.00,"July 11, 2019",14 Inches,,,2.4 GHz apple_ci5,16 GB DDR3L,,SSD,Intel HD,Intel,Integrated,,,,Lenovo,Lenovo Thinkpad,T460,PC,Windows 10,5.09 pounds,9.2 x 13.3 x 0.8 inches,,,Intel,2.0,DDR3 SDRAM,,USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,200.0,B08KHWLFXJ,"HP X360 14 Chromebook Laptop Computer 14"" HD SVA Touch Display Intel Pentium Dual-Core N5000 Processor 4GB DDR4 128GB eMMC WiFi Webcam Chrome OS Google Classroom Compatible w/ 32GB SD Card",$168.88,"October 1, 2020",14 Inches,1360x768,1280X720 Pixels,1.1 GHz pentium_N5000,4 GB SO-DIMM,2400 MHz,128 GB SSD,Intel UHD Graphics 600,Intel,Integrated,802.11ac,,12 Hours,HP,HP 14b-ca0061wm,HP 14b-ca0061wm,PC,Windows 10,3.64 pounds,8.9 x 12.8 x 0.74 inches,,White,Intel,2.0,DDR4 SDRAM,128 GB,Solid State,,"Corded Electric, Battery Powered",1 Lithium Metal batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,200.0,B09BP3QCS4,"2021 Newest Dell Business Laptop Latitude 3520, 15.6"" FHD IPS Backlit Display, i7-1165G7, 32GB RAM, 1TB SSD, Webcam, WiFi 6, USB-C, HDMI, Win 10 Pro","$1,109.99","August 2, 2021",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.8 GHz intel_core_i7_1165g7,32 GB SDRAM,2.8 GHz,1 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ax,3.0,,Dell,Latitude,3520,PC,Windows 10 Pro,3.95 pounds,14.2 x 9.5 x 0.71 inches,,Black,Intel,4.0,DDR4 SDRAM,1 TB,PCIE x 4,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,200.0,B09ZGR6RP7,"Newest Dell Inspiron 3000 Laptop Computer, 15.6"" HD Display, Intel Pentium Silver Processor N5030 (Up to 3.10Ghz), Webcam, Wi-Fi, HDMI, Windows 10 Home, Black (Latest Model) (32GB RAM | 1 TB SSD)",$579.99,"May 3, 2022",,,,,,,,,,,,,,,,Inspiron,,,3.91 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,200.0,B0BMXB18QV,HP 2022 Newest 17.3 HD+ Touchscreen Laptop Intel 12th 10-Core i7-1255U Iris Xe Graphics 16GB RAM DDR4 1TB NVMe SSD HDMI WiFi AX BT5.0 USB-C Backlit Keyboard Webcam Windows 11 Home w/ RE Accessories,,"November 19, 2022",17.3 Inches,1600x900,1600 x 900 Pixels,2.8 GHz core_i7_family,16 GB DDR4,3200 MHz,1 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ax,3.0,6 Hours,HP,17-CN200,17-CN200,PC,Windows 11 Home,8 pounds,15.78 x 10.15 x 0.78 inches,,Silver,Intel,4.0,DDR4 SDRAM,,Solid State,No Optical Drive,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,200.0,B08173ZTJX,"Dell New Inspiron i3583 15.6"" HD Touch-Screen Laptop - Intel i3-8145U - 8GB DDR4-128GB SSD - Windows 10 - Wireless-AC - Bluetooth - SD Card Reader - HDMI & USB 3.1 -Waves MaxxAudio Pro- Black",$319.00,"November 8, 2019",15.6 Inches,1360x768,1366 x 768,2.1 GHz apple_ci3,8 GB DDR4,2400 MHz,128 GB SSD,Intel UHD Graphics 620,Intel,Integrated,802.11ac,2.0,,Dell,i3583-i3-8gb-128gb,Dell_Inspiron,PC,Windows 10,4.4 pounds,15 x 10.2 x 0.8 inches,,Black,Intel,2.0,DDR4 SDRAM,128,Solid State,No Optical Drive,Battery Powered,1 Lithium Metal batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,200.0,B08CMB8F7C,"HP 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage, 14-inch HD Display, Windows 10 Home in S Mode, Long Battery Life, Microsoft 365, (14-fq0010nr, 2020)",$159.00,"July 29, 2020",14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.6 GHz amd_e_series,4 GB 4 GB DDR4,2.6 GHz,Embedded MultiMediaCard,AMD Radeon,AMD,Integrated,"802.11a/b/g/n/ac, Bluetooth",,9 Hours,HP,HP Laptop 14-fq0010nr,14-fq0010nr,PC,Windows 10 Home,3.24 pounds,0.71 x 8.86 x 12.76 inches,,Indigo Blue,AMD,2.0,DDR4 SDRAM,,Solid State,No Optical Drive,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,200.0,B084SQDB1V,"Dell Latitude 7390 Laptop, 13.3-inch FHD Touch Display, Intel Core i5-8350U Upto 3.6GHz, 8GB RAM, 256GB SSD, DisplayPort via USB-C, HDMI, Qualcomm WWAN, Wi-Fi, Bluetooth, Windows 10 Pro (Renewed)",$249.00,"February 13, 2020",13.3 Inches,,1920x1080 Pixels,1.7 GHz core_i5,8 GB,3.6 GHz,256 GB SSD,Intel,Qualcomm,Integrated,Bluetooth,,1 Hours,Dell,Dell Latitude,7390,,Windows 10 Pro,2.59 pounds,12 x 8.19 x 0.64 inches,,Black,Intel,4.0,SODIMM,,Solid State,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,200.0,B01MS9WUZZ,"HP Security Cable Lock - for Chromebook 11 G7, 11A G6, 14A G5; Chromebook x360; Elite x2; EliteBook x360; ZBook 15v G5",$20.55,"August 4, 2018",,,,,,,,,,,,,,,,T1A62AA,,,2.08 ounces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,200.0,B0945HVTQH,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 10 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0010nr, 2021, Indigo Blue)",$219.90,"May 30, 2021",14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.8 GHz celeron_n4020,4 GB 4 GB DDR4,2400 MHz,SSD,Intel UHD Graphics 600,Intel,Integrated,"802.11a/b/g/n/ac, Bluetooth",,10 Hours,HP,14-dq0010nr,14-dq0010nr,PC,Windows 11 Home,3.24 pounds,0.71 x 8.86 x 12.76 inches,,Indigo Blue,Intel,2.0,DDR4 SDRAM,,,No Optical Drive,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,200.0,B09TF8S1JN,"Lenovo Legion 5 Gaming Laptop, 17.3” FHD (1920 x 1080) Display, AMD Ryzen 5 5600H Processor, 32GB RAM, 1TB SSD, NVIDIA GeForce GTX 1650, Backlit Keyboard, Windows 11 Home",$959.00,"February 26, 2022",17.3 Inches,,1920 x 1080 Pixels,3.3 GHz ryzen_5_5600h,32 GB DDR4,3200 MHz,SSD,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,802.11ax,,,Lenovo,Lenovo Legion,Lenovo Legion 5 Gaming Laptop,PC,Windows 11,6.57 pounds,15.7 x 11.4 x 1.03 inches,,Blue,AMD,6.0,DDR4 SDRAM,32 GB,USB 3.2,No Optical Drive,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,200.0,B08RS5M56P,"Lenovo Ideapad 5 15.6-inch FHD Touchscreen Premium Laptop PC, Intel Quad-Core i7-1065G7, Intel Iris Plus Graphics, 12GB DDR4 RAM, 512GB SSD, Backlit Keyboard, Windows 10 Home 64 bit, Abyss Blue",$659.63,"December 31, 2020",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1.8 GHz core_i7_1065g7,12 GB DDR4,3.9 GHz,512 GB SSD,AMD,,Integrated,"Bluetooth, 802.11ac",3.0,,Lenovo,Lenovo ideapad 5 Laptop,Lenovo ideapad 5 Laptop,PC,Windows 11,3.66 pounds,14.07 x 9.18 x 0.75 inches,,Grey,AMD,8.0,DDR4 SDRAM,512 GB,Solid State,,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,200.0,B09XJ75H5R,"Dell Newest Inspiron 3000 Laptop 15.6-Inch FHD Display, AMD Ryzen 3 2200U Up to 3.4GHz, 16GB RMA 512GB SSD, Radeon Vega 3 Graphics, Bluetooth, Webcam, HDMI, Windows 10",$439.00,"April 8, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.5 GHz ryzen_3_3200u,16 GB DDR4,3.4 GHz,256 GB SSD,AMD Radeon Vega 3,AMD,Integrated,Bluetooth,,,Dell,3000,3000,PC,Windows 10 Home,4.1 pounds,14.96 x 10.16 x 0.89 inches,,,AMD,2.0,DDR4 SDRAM,512 GB,Solid State,,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,200.0,B08XK6DHFR,"HP 2022 Newest 14"" HD Laptop Light-Weight, AMD 3020e(Up to 2.6GHz), 8GB RAM, 128GB SSD + 64GB eMMC, 1 Year Office 365, WiFi, Bluetooth 5, USB Type-A&C, HDMI, Webcam w/Ghost Manta Accessories",$349.00,"February 25, 2021",14 Inches,1360x768,1366 x 768 Pixels,2.6 GHz amd_a_series,8 GB DDR4,2.6 GHz,64 GB SSD,AMD Radeon Graphics,AMD,Integrated,"Bluetooth, 802.11a/g/n/ac",2.0,,HP,hp,HP,PC,Windows 10,3.24 pounds,12.76 x 8.86 x 0.71 inches,,Black,AMD,2.0,DDR4 SDRAM,128 GB,Solid State,CD-ROM,Battery Powered,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,200.0,B08XJL1BT1,"Dell XPS 13 7390 Laptop 13.3"" 4K UHD Touchscreen, Intel i7-10710U, Webcam, Backlit Keyboard, Fingerprint Reader, USB-C, Win 10 (Win10 Pro | 16GB RAM | 512GB SSD, Black Carbon)","$1,299.00","December 23, 2020",13.3 Inches,,3840 x 2160 Pixels,4.7 GHz core_i7,16 GB DDR4,,2 TB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,,,Dell,XPS,XPS 7390,PC,Windows 10 Pro,2.7 pounds,11.9 x 7.8 x 0.62 inches,,Black Carbon,Intel,6.0,SDRAM,,PCIE x 4,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,200.0,B0BN46VJPL,"Lenovo 100e Windows 2nd Gen 81M8005MUS 11.6"" Netbook - HD - 1366 x 768 - Intel Celeron N4120 Quad-core (4 Core) 1.10 GHz - 4 GB Total RAM - 128 GB SSD - Gray",$316.38,"November 22, 2022",11.6 Inches,1366 x 768,1366 x 768 Pixels,1.1 GHz celeron,4 GB LPDDR4,,128 GB SSD,Intel UHD Graphics 600,Intel,UHD Graphics 600,,2.0,,Lenovo,100e Windows 2nd Gen,81M8005MUS,PC,Windows 10 Pro,3.39 pounds,11.4 x 8 x 0.78 inches,,,Intel,1.0,,,,No Information Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,200.0,B0B7VSJ7PQ,"Lenovo ThinkBook 13s Gen 4 (13"" AMD) Laptop AMD Ryzen™ 7 6800U Processor 16 GB LPDDR5 512 GB PCIe SSD Gen 4 13.3"" WUXGA (1920 x 1200) IPS, Anti-Glare with Dolby Vision™ Windows 11 Pro 64",Unavailable,"July 28, 2022",13 Inches,,1920 x 1200 Pixels,3 GHz ryzen_7,16 GB DDR5,,SSD,,AMD,Integrated,"Bluetooth, 802.11ax",2.0,,Lenovo,21as001aus,,,Windows 11,3 pounds,,,,AMD,8.0,DDR5 RAM,16 GB,Solid State,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,200.0,B0BC4YW4Q6,"Dell 2023 G15 15.6"" 120Hz FHD Gaming Laptop 14-Core Intel i7-12700H 32GB DDR5 2TB NVMe SSD NVIDIA GeForce RTX 3060 6GB GDDR6 Thunderbolt4 HDMI2.1 WiFi AX BT RJ-45 Backlit KB Webcam Windows 11 Home","From $1,829.00","October 29, 2022",15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,3.5 GHz core_i7_family,16 GB DDR5,4800 MHz,2 TB SSD,NVIDIA GeForce RTX 3060,NVIDIA,Dedicated,802.11ax,4.0,6 Hours,Dell,G15,G15,PC,Windows 11 Home,5.37 pounds,14.06 x 10.71 x 0.98 inches,,Black,Intel,14.0,DDR5 SDRAM,,Solid State,No Optical Drive,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,200.0,B0B4RNG5MF,"HP Newest Envy 17.3"" FHD IPS Touchscreen Laptop, Intel i7-1165G7, NVIDIA Geforce MX450 Graphics, 16GB RAM 256GB SSD 1TB HDD, WiFi6, Type-C, HDMI, Backlit Keyboard, Fingerprint, Win11 Home","$1,198.00","June 22, 2022",17.3 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.8 GHz core_i7_family,16 GB DDR4,,256 GB SSD,Nvidia Geforce MX450 2GB,NVIDIA,Dedicated,802.11ax,4.0,,HP,17-CG1000,17-CG1000,PC,Windows 11,8.43 pounds,15.71 x 10.2 x 0.78 inches,,Natural Silver,Intel,4.0,DDR4 SDRAM,256 GB,PCIE x 4,No Optical Drive,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,200.0,B09MJNLMV7,"Lenovo V15-ITL 82KB00C4US 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i3 11th Gen i3-1115G4 Dual-core (2 Core) 3 GHz - 8 GB RAM - 256 GB SSD - Black",$469.99,"November 24, 2021",15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,3 GHz core_i3_family,8 GB DDR4,2400 MHz,256 GB SSD,Intel UHD Graphics,Intel,UHD Graphics,"Bluetooth, 802.11a/b/g/n/ac",2.0,,Lenovo,V15-ITL,82KB00C4US,PC,Windows 10 Pro,3.75 pounds,9.3 x 14.1 x 0.78 inches,,Black,Intel,1.0,DDR4 SDRAM,256,,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,200.0,B08S7NRGTD,"Lenovo Thinkpad E15 Business Laptop, 15.6"" FHD IPS Display, Intel Core i7-10510U, 32GB RAM Memory, 1TB PCIe NVMe SSD, Webcam, Zoom Meeting, Windows 10 Pro, Black","From $1,080.93","January 6, 2021",15.6 Inches,,,1.8 GHz core_i7_10510u,32 GB,1.8 GHz,Solid State Hard Drive,,Intel,Integrated,Bluetooth,,,Lenovo,Lenovo Thinkpad,E-B,,Windows 10 Pro,4.19 pounds,14.11 x 9.27 x 0.91 inches,,Black,Intel,4.0,DDR4 SDRAM,1 TB,USB 3.1,,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,200.0,B0BH88GFR6,"Lenovo ThinkPad Yoga 11E 11.6"" HD 2-in-1 Touchscreen Laptop, Intel Celeron N4120, 4GB RAM 512GB SSD, Intel UHD Graphics 600, Webcam, HDMI, WiFi, Bluetooth, Windows 10 Pro, Black",$369.00,"October 4, 2022",11.6 Inches,,1366 x 768 Pixels,1.1 GHz celeron_n,4 GB LPDDR4,2400 MHz,512 GB SSD,Intel UHD Graphics,Intel,Integrated,"Bluetooth, 802.11ac",,,Lenovo,Thinkpad Yoga 11e Laptop,ThinkPad Yoga,PC,Windows 10,3.4 pounds,8.3 x 11.8 x 0.9 inches,,Blue,Intel,4.0,DDR4 SDRAM,512 GB,Solid State,,,1 Unknown batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,200.0,B08JZCJVX2,"HP EliteBook 840 G4 14 HD Laptop, Core i5-7300U 2.6GHz, 16GB RAM, 256GB Solid State Drive, Webcam, Bluetooth, Windows 10 Pro 64Bit (Renewed)",$224.00,"September 24, 2020",14 Inches,,,2.6 GHz core_i5,16 GB DDR4,,256 GB SSD,Intel,Intel,Integrated,,,,HP,,Elitebook 840 G4,,Windows 10 Pro,3.75 pounds,9.33 x 13.33 x 0.74 inches,,,Intel,,DDR4 SDRAM,,,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,200.0,B07GCRHVP9,"Lenovo ThinkPad T450 14in Laptop, Core i5-5300U 2.3GHz, 8GB Ram, 500GB HDD, Windows 10 Pro 64bit, Webcam (Renewed)",$209.83,"August 11, 2018",14 Inches,,1366 x 768,2.3 GHz core_i5,8 GB,2.3 GHz,500 GB HDD,Intel HD Graphics 5500,Intel,Dedicated,801.11ac,,5 Hours,Lenovo,Lenovo Thinkpad,ThinkPad T450,,Windows 10,3.81 pounds,9.2 x 13.3 x 0.8 inches,,,Intel,2.0,DDR3 SDRAM,,,,Corded Electric,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,200.0,B08DRQ8ZH6,"Dell - Inspiron 13 7000 2-in-1 - 13.3"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 512GB SSD + 32GB Optane - Silver - i7300-5395SLV-PUS",$379.00,"July 28, 2020",13.3 Inches,,,4.2 GHz core_i5_10210u,8 GB LPDDR3,1.6 GHz,SSD,Intel UHD Graphics,Intel,Integrated,,,,Dell,Dell Inspiron,i7300-5395SLV-PUS,,Windows 10 Home,4.44 pounds,12 x 7.8 x 0.6 inches,,Silver,Intel,4.0,DDR2 SDRAM,512 GB,,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,200.0,B08JPLGNZX,"Asus 14.0"" HD Chromebook Laptop PC, Intel Dual Core Celeron N3350 Processor, 4GB RAM, 32GB eMMC, Chrome OS, Grey",$145.00,"September 22, 2020",14 Inches,,,2.4 GHz celeron,4 GB DDR4,,Emmc,,Intel,,Bluetooth,,,ASUS,,Asus 14 Chromebook,,Chrome OS,4.5 pounds,12.76 x 8.86 x 0.71 inches,,,Intel,2.0,DDR4 SDRAM,32 GB,USB,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,200.0,B09JQSLL92,"Apple 2021 MacBook Pro (14-inch, M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,200.0,B0896555NG,"HP 2022 Envy x360 2-in-1 15.6"" FHD Touchscreen Laptop Computer, Intel Core i5-1135G7, 16GB RAM, 256GB PCIe SSD, Backlit Keyboard, Iris Xe Graphics, HD Webcam, Win 11, Silver, 32GB Snow Bell USB Card",$739.00,"May 26, 2020",15.6 Inches,,1920 x 1080 Pixels,2.5 GHz apple_ci5,16 GB DDR4,,256 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ac,2.0,,HP,Intel Core i5,HP Envy,PC,Windows 11 Home,4.53 pounds,14.13 x 9.69 x 0.68 inches,,Silver,Intel,4.0,DDR4 SDRAM,256 GB,Solid State,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,200.0,B01MRA81ZM,"Dell T6YG7 Latitude 5580 Laptop, 15.6"" FHD, Intel Core i5-7300U, 8GB DDR4, 500GB Hard Drive, Windows 10 Pro,Black",$256.00,"January 26, 2017",15.6 Inches,,1920X1080 Pixels,2.6 GHz,8 GB DDR4,3.5 GHz,500 GB HDD,,Intel,Integrated,802.11ac,3.0,,Dell,Dell Latitude,T6YG7,PC,Windows 10 Pro,7.2 pounds,13.7 x 19.3 x 3.3 inches,,Black,Intel,2.0,Unknown,,Serial ATA,,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,200.0,B09W1LSG7D,"2022 Newest HP 15.6"" FHD 1080P IPS Display Laptop Computer, 11th Gen Intel Quad-Core i5-1135G7(Up to 4.2GHz), 1TB PCIe SSD, 16GB RAM, Webcam, Wi-Fi, Bluetooth, HDMI, Windows 11, Silver",$679.00,"March 20, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.4 GHz intel_core_i5_1135g7,16 GB DDR4,2666 MHz,1 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ac,3.0,,HP,HP 15 i5 LAPTOP,HP 15 i5 Laptop,PC,Windows 11,3.75 pounds,14.11 x 9.53 x 0.71 inches,,Silver,Intel,4.0,DDR4 SDRAM,1 TB,Solid State,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,200.0,B09WMHNQ64,"Newest Lenovo IdeaPad 5i 15.6” FHD Touchscreen Laptop, 11th Gen Intel Core i7-1165G7 Processor, 12GB RAM 1TB SSD, Backlit Keyboard, Fingerprint Reader, Windows 11, Abyss Blue",$849.00,"March 30, 2022",15.6 Inches,,1920 x 1080 Pixels,2.8 GHz intel_core_i7_1165g7,12 GB LPDDR4,2.8 GHz,1 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,,Lenovo,Lenovo Ideapad,Lenovo IdeaPad 5i,PC,Windows 11,3.66 pounds,29 x 29 x 29 inches,,Blue,Intel,4.0,DDR4 SDRAM,,Solid State,No Optical Drive,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
