ID,Name,Price,Processor,Number of USB 3.0 Ports,Number of Processors,Computer Memory Type,Hard Drive Interface,Bluetooth,Wireless_Year,Numeric_Release_Date,Numeric_Display_Size,Resolution_Width,Resolution_Height,Numeric_RAM,Numeric_Memory_Speed,Numeric_Drive_Capacity,Drive_Type,Numeric_Battery_Capacity,Numeric_Battery_Life,Clean_Brand,Clean_Series,Clean_Operating_System,Lithium_Battery_Technology,Clean_Processor_Type,Numeric_Processor_Speed,Height,Depth,Width,Clean_Processor_Brand,Numeric_Flash_Size,Clean_Optical_Drive,Graphics_Coprocessor_Category,Chipset_Category,Integrated_Graphics,Color_Category,Number_of_Color_words,Numeric_Weight
B089J162XK,"ASUS TUF VR Ready Gaming Laptop, 15.6"" IPS FHD, AMD Ryzen 7-4800H Octa-Core up to 4.20 GHz, NVIDIA RTX 2060, 8GB RAM, 512GB SSD, RGB Backlit KB, RJ-45 Ethernet, Win 10",899.99,,,8.0,DDR4 SDRAM,,False,2014.0,1590969600.0,15.6,,,8.0,2666.0,512000000.0,,,,asus,,windows 10,lithium metal,,,1.0,10.1,14.2,amd,512.0,,geforce,nvidia,False,gray,1.0,5.07
B089J74GW2,"Dell Latitude 5000 Series, 5400 14-inch, Core i5-8265U (1.60Ghz-3.90Ghz), 8GB RAM, 256GB SSD Full HD (1920X1080) WiFi AC Backlit Keyboard HD Webcam Windows 10 Pro (Renewed)",218.0,1.9 GHz core_i5_family,,4.0,DDR4 SDRAM,solid state,True,,1590969600.0,14.0,1920.0,1080.0,16.0,1800.0,256000000.0,SSD,,,dell,latitude,windows 10,lithium ion,i5,1.9,0.9,9.0,13.1,intel,256.0,,intel,intel,True,black,1.0,4.0
B089KRR72J,"Lenovo ThinkPad L14 Gen1 20U10028US 14"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 (10th Gen) i5-10210U Quad-core (4 Core) 1.60 GHz - 8 GB RAM - 256 GB SSD - Black",799.99,1.6 GHz core_i5_family,2.0,1.0,DDR4 SDRAM,,True,1999.0,1591056000.0,14.0,1920.0,1080.0,8.0,1600.0,256000000.0,SSD,,,lenovo,,windows 10,,i5,1.6,0.79,9.3,13.0,intel,,,intel,intel,False,black,1.0,3.81
B089LKKRWY,"2022 Newest HP Envy 2-in-1 Laptop, 15.6"" IPS FHD Touch Screen, 6 core AMD Ryzen 5 5625U(Beat i7-1265U), 8GB DDR4, 256GB SSD, Backlit Keyboard, Amazon Alexa, W/ Stylus Pen, Win 11, Black",639.98,,,6.0,DDR4 SDRAM,,True,,1591142400.0,15.6,,,8.0,2300.0,256000000.0,,,7.0,hp,,windows 11,lithium ion,,,0.7,9.1,14.1,,2.0,,,amd,True,,,5.0
B089N61QMJ,"2020 Latest Dell Inspiron 15 5000 5593 Laptop | 15.6"" Full HD 1080p | 10th Gen Intel Core i7-1065G7 | MaxxAudio Pro Backlit KB Fingerprint Win 10 + CUE USB Drive (16GB RAM | 512GB SSD + 1TB HDD)",899.0,1.3 GHz core_i9,,4.0,DDR4 SDRAM,esata,False,2014.0,1589932800.0,15.6,1920.0,1080.0,16.0,3900.0,512000000.0,SSD,,,dell,inspiron,windows 10,lithium ion,,1.3,0.71,9.8,14.33,intel,,,iris,intel,True,silver,1.0,4.11
B089P1ZGC3,"Lenovo ThinkPad T14s Gen 1 20T0002EUS 14"" Touchscreen Notebook - 1920 x 1080 - Core i5 i5-10310U - 8 GB RAM - 256 GB SSD - Windows 10 Pro 64-bit - Intel UHD Graphics",1099.0,1.6 GHz core_i5,,,,usb-c,False,2020.0,1591228800.0,14.0,1920.0,1080.0,8.0,1600.0,256000000.0,SSD,,,lenovo,thinkpad,windows 10,lithium ion,i5,1.6,,,,intel,256.0,,intel,intel,True,,,4.14
B089Q6H3G2,"HP 14.0"" WLED-Backlit Micro-Edge Display Laptop PC, Intel Quad-Core i5-1035G1 up to 3.6GHz, 8GB DDR4, 256GB SSD + 16GB Intel Optane Memory, Webcam, Bluetooth, Fast Charge, HDMI, Windows 10, Gold",529.0,1 GHz core_i5,,4.0,DDR4 SDRAM,serial ata,False,1999.0,1591228800.0,14.0,1366.0,768.0,8.0,2666.0,256000000.0,SSD,,,hp,,windows 10,,i5,1.0,0.71,8.86,12.76,intel,256.0,,intel,intel,True,gold,1.0,3.24
B089QL4XHV,"Lenovo ThinkPad T15 Gen 1 20S60012US 15.6"" Notebook - 1920 x 1080 - Core i5 i5-10310U - 8 GB RAM - 256 GB SSD - Black - Windows 10 Pro 64-bit - Intel UHD Graphics - in-Plane Switching (IPS) Techn",1104.7,1.6 GHz core_i5,,4.0,DDR4 SDRAM,usb-c,True,,1591315200.0,15.6,1920.0,1080.0,8.0,1600.0,256000000.0,SSD,,,lenovo,,windows 10,lithium ion,i5,1.6,4.0,14.0,22.0,intel,256.0,,intel,intel,True,black,1.0,3.98
B089QYYGNW,"Dell Latitude 5000 5421 Laptop - 14"" FHD IPS Display - 2.5 GHz Intel Core i7 11850H 8-Core (11th Gen) - 16GB - 512GB SSD - Windows 10 Pro (Includes Windo ws 11 Pro License)",1199.0,2.5 GHz core_i7_family,,1.0,DDR4 SDRAM,esata,True,,1605744000.0,14.0,1920.0,1080.0,8.0,2666.0,512000000.0,SSD,,,dell,latitude,windows 10,lithium ion,i7,2.5,0.83,8.5,12.72,intel,,,intel,intel,True,,,0.198125
B089S9FMLH,"Lenovo Legion Y740 Gaming Laptop, 17.3"" Full HD IPS 144Hz Screen, Intel Core i7-9750H Processor, NVIDIA GeForce GTX 1660 Ti, 16GB RAM, 256GB SSD + 1TB HDD, RGB Backlit Keyboard, Windows 10 Home, Black",1699.0,2.6 GHz amd_r_series,,6.0,DDR4 SDRAM,serial ata,True,,1591488000.0,17.3,1920.0,1080.0,16.0,4500.0,1000000000.0,SSD,,5.0,lenovo,legion,windows 10,,,2.6,0.91,12.0,16.2,intel,256.0,,geforce,nvidia,False,black,1.0,6.4
B089T5V5FX,"Lenovo IdeaPad 11.6"""" HD Intel N4020 4GB RAM 32GB eMMC Webcam BT Chrome OS, Black (82BA0000US)",109.0,2.8 GHz celeron_n,1.0,2.0,DDR SDRAM,solid state,,,1591574400.0,11.6,1366.0,768.0,4.0,2800.0,32000000.0,SSD,,,lenovo,,chrome os,lithium polymer,celeron,2.8,0.8,8.03,11.42,intel,,None,intel,intel,True,black,1.0,2.7
B089T6C53P,"HP 15.6"" HD Intel 10th Gen i3-1005G1 3.4GHz 8GB RAM 256GB SSD Win 10 Laptop",289.0,3 core_i3,1.0,2.0,DDR SDRAM,,True,,1591574400.0,15.6,1366.0,768.0,8.0,3400.0,256000000.0,SSD,,3.5,hp,,windows 10,lithium polymer,i3,,0.71,9.53,14.11,intel,256.0,,,intel,True,silver,1.0,1.7
B089T6DX1R,"HP 14"" HD AMD Ryzen 3 3.5GHz 4GB 1TB HDD Radeon Vega 3 Webcam Windows 10 Laptop",299.99,3.5 GHz ryzen_3,,2.0,DDR SDRAM,,True,,1591574400.0,14.0,,,4.0,3500.0,,,,9.0,hp,,windows 10,lithium polymer,ryzen,3.5,0.78,8.89,12.75,,,,,amd,False,,,1.51
B08B3X4L95,"2020 HP Pavilion x360 14"" FHD WLED Touchscreen 2-in-1 Convertible Laptop, Intel Core i5-1035G1 up to 3.6GHz, 8GB DDR4, 256GB SSD, 802.11ac, Bluetooth, Webcam, HDMI, Fingerprint Reader, Windows 10",589.99,1 GHz core_i5_1035g1,,4.0,DDR SDRAM,solid state,False,2014.0,1591833600.0,14.0,1920.0,1080.0,8.0,3600.0,256000000.0,SSD,,,hp,,windows 10,lithium ion,i5,1.0,0.7,8.7,12.8,intel,256.0,,intel,intel,True,gold,1.0,4.0
B08B3YWTHR,"Dell Latitude 9510 15"" 2 in 1 Notebook - Intel Core i5 i5-10310U 1.7GHz",2091.3,1.7 GHz core_i5,,,,,False,,1591920000.0,15.0,1920.0,1200.0,16.0,,256000000.0,,,,dell,latitude,windows 10,,i5,1.7,,,,intel,,,intel,intel,True,,,3.3
B08B46N9M6,Dell Latitude 5580 i5-7200U 2.50GHz 16GB 512GB SSD W10P64 (Renewed),279.0,2.30 5x86,,1.0,DDR4 SDRAM,usb 3.0,False,2014.0,1591920000.0,15.0,1366.0,768.0,16.0,2400.0,512000000.0,SSD,,,dell,,windows 10,lithium ion,,,0.9,9.0,13.1,intel,512.0,,intel,intel,True,black,1.0,3.53
B08B5JW8JV,"Asus TUF FX505DT Gaming Laptop, 15.6” Full HD, AMD Ryzen 7 R7-3750H Processor, GeForce GTX 1650 Graphics, 8GB DDR4, 256GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505DT-WB72, RGB Keyboard",849.0,2.3 GHz amd_ryzen_7_3750h,,1.0,DDR4 SDRAM,solid state,False,,1592092800.0,15.6,1920.0,1080.0,8.0,2400.0,256000000.0,SSD,,,asus,,windows 10,lithium polymer,ryzen,2.3,1.02,10.32,14.9,amd,256.0,,geforce,nvidia,False,black,1.0,5.1
B08B6F1NNR,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",368.0,3 GHz core_i3,,2.0,DDR4 SDRAM,pcie x 4,True,,1592179200.0,15.6,1366.0,768.0,8.0,3400.0,256000000.0,SSD,,7.0,lenovo,ideapad,windows 11,lithium ion,i3,3.0,1.0,11.2,16.3,intel,256.0,None,intel,intel,True,,1.0,4.07
B08B8HTM8H,"HP 2020 Envy X360 2-in-1 15.6"" FHD IPS Touchscreen Laptop, AMD 4th Gen Ryzen 5 Six-Core 4500U Upto 4.0GHz, 16GB RAM, 1TB PCIe SSD, Backlit Keyboard, Fingerprint Reader, WiFi 6, HDMI, Windows 10",799.0,2.3 GHz amd_r_series,,6.0,DDR4 SDRAM,serial ata,True,,1592265600.0,15.6,,,16.0,2300.0,1024000000.0,,,7.0,hp,,windows 10,lithium ion,,2.3,0.7,9.1,14.1,amd,16.0,,,amd,True,,,8.43
B08B9Q7GYV,"Dell Latitude 7410 14"""" Notebook - Full HD - 1920 x 1080 - Core i5 i5-10310U 10th Gen 1.7GHz Hexa-core (6 Core) - 16GB RAM - 256GB SSD, 14-14.99 inches",487.0,1.7 GHz apple_ci5,,1.0,DDR4 SDRAM,,True,,1592265600.0,14.0,1920.0,1080.0,16.0,,256000000.0,SSD,,,dell,,windows 10,,i5,1.7,0.76,8.22,12.65,intel,,None,,intel,True,,,2.93
B08BB5M8RT,"Dell Latitude 5510 15.6"" Notebook - Full HD - 1920 x 1080 - Core i7 i7-10610U 10th Gen 1.8GHz Hexa-core (6 Core) - 16GB RAM - 512GB SSD",2299.0,1.8 GHz apple_ci7,,1.0,DDR SDRAM,,False,,1592265600.0,15.6,1920.0,1080.0,16.0,1800.0,512000000.0,SSD,,,dell,,windows 10,,i7,1.8,0.88,9.3,14.14,intel,,None,intel,intel,True,,,3.96
B08BB89177,"Dell Latitude 5510 15.6"" Notebook - Full HD - 1920 x 1080 - Core i5 i5-10310U 10th Gen 1.7GHz Hexa-core (6 Core) - 16GB RAM - 512GB SSD",1069.99,1.7 GHz apple_ci5,,1.0,DDR4 SDRAM,,False,,1592265600.0,15.6,1920.0,1080.0,16.0,,512000000.0,SSD,,,dell,,windows 10,,i5,1.7,0.88,9.3,14.14,intel,,None,intel,intel,True,,,4.01
B08BF4CZSV,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),179.99,,,,,,False,,1599350400.0,23.8,1920.0,1080.0,,,,,,,hp,,,,,,8.33,18.28,23.54,,,,,,,black,2.0,9.94
B08BHLVZR8,"Lenovo IdeaPad 3 15.6"" FHD Anti-Glare LED Backlit Laptop, AMD 6-Core Ryzen 5 4500U up to 4.0GHz, 8GB DDR4, 1TB HDD, Webcam, 802.11ac, Bluetooth, HDMI, USB Type-C, Dolby Audio, Windows 10, Abyss Blue",399.0,2.3 GHz amd_r_series,,6.0,DDR4 SDRAM,serial ata,False,2014.0,1582675200.0,15.6,1920.0,1080.0,8.0,3900.0,1000000000.0,HDD,,,lenovo,ideapad,windows 10,lithium ion,,2.3,0.9,9.6,14.8,amd,1000.0,,radeon,amd,True,blue,2.0,3.0
B08BJ9DPYD,"HP Chromebook 14"" Intel Celeron N3350 4GB RAM 32GB eMMC Chalkboard Gray - Intel Celeron N3350 Dual-core - Intel HD Graphics 500 - USB 3.1 Connector - Audio by B&O - 11 hr 30 min Battery Life",149.0,1.1 GHz celeron,,1.0,DDR4 SDRAM,solid state,False,,1592611200.0,14.0,1366.0,768.0,4.0,2400.0,,SSD,,11.0,hp,,chrome os,lithium polymer,celeron,1.1,0.7,8.9,13.27,intel,32.0,,intel,intel,True,,,3.57
B08BLCR3R6,"HP Envy X360 2-in-1 15.6"" FHD IPS Multitouch Screen Laptop | AMD Ryzen 7-4700U 8 cores | 16GB RAM | 512GB SSD | AMD Radeon | Backlit Keyboard | Fingerprint Reader | HDMI | Windows 10",799.0,2 GHz ryzen_7_4700u,,8.0,DDR4 SDRAM,serial ata,True,,1592265600.0,15.6,,,16.0,,512000000.0,,,7.0,hp,,windows 10,lithium ion,ryzen,2.0,0.7,9.1,14.1,amd,512.0,,,amd,True,,,4.41
B08BS557MX,,635.0,2.5 GHz core_i5_family,,1.0,DDR4 SDRAM,,True,1999.0,1592956800.0,15.6,1920.0,1080.0,8.0,2500.0,256000000.0,SSD,,,lenovo,ideapad,windows 10,lithium ion,i5,2.5,0.98,9.8,14.1,intel,256.0,,geforce,nvidia,False,black,2.0,4.85
B08BS5Z1TQ,"HP Laptop, 17.3-inch HD+ Screen, 10th Gen Intel Core i5-1035G1 Quad-Core Processor up to 3.60GHz, 8GB DDR4 RAM, 256GB PCIe NVMe M.2 SSD, Wireless-AC, Bluetooth, Windows 10 Home, Black (Renewed)",412.99,3.6 GHz core_i5,,4.0,DDR4 SDRAM,usb,True,,1592956800.0,17.3,1600.0,900.0,8.0,3600.0,256000000.0,SSD,,,hp,,windows 10,lithium polymer,i5,3.6,3.0,12.0,22.0,intel,,,intel,intel,True,black,1.0,6.0
B08BWG8Q5M,Dell Precision 15 7530 15.6-inch FHD Mobile Workstation Laptop w/ i5-8300H / 16GB / 512GB SSD / Quadro P1000 / Windows 10 (Renewed),399.0,2.3 GHz core_i5_8300h,,4.0,DDR4 SDRAM,solid state,False,,1593043200.0,15.6,1920.0,1080.0,16.0,,512000000.0,SSD,,,dell,precision,windows 10,lithium ion,i5,2.3,1.0,9.89,14.8,intel,,,,nvidia,True,black,1.0,5.57
B08BZD5N3D,"Latest_Dell Inspiron 13.3"" 7000 2-in-1 Touchscreen Laptop, 10th Generation Intel Core i5-10210U Processor, 8GB Memory, 512GB SSD+ 32GB Optane, Wireless+Bluetooth, Silver, Windows 10",435.99,4.2 GHz core_i5,,4.0,DDR4 SDRAM,solid state,True,,1593302400.0,13.3,1920.0,1080.0,8.0,1600.0,512000000.0,SSD,,7.0,dell,,windows 10,lithium ion,i5,4.2,1.0,13.0,15.0,intel,512.0,,intel,intel,True,silver,1.0,3.2
B08BZDL8Y7,Dell XPS 13 7390 Premium Business Laptop I 13.3” FHD Display I 10th Gen Intel 4-Core i7-10510U I 16GB DDR4 512GB SSD I Backlit Fingerprint Thunderbolt USB-C Win10,1599.0,1.8 GHz core_i7,,4.0,DDR4 SDRAM,solid state,True,,1593388800.0,13.3,1920.0,1080.0,16.0,1800.0,512000000.0,SSD,,19.0,dell,xps,windows 10,,i7,1.8,0.62,7.8,11.9,intel,512.0,,intel,intel,True,silver,1.0,2.7
B08BZG5K45,"Dell XPS 13 7390 Laptop 13.3"" Full HD IPS Touchscreen 10th Gen Intel Quad-Core i5-10210U (Beats i7-8550U) 8GB DDR4 512GB PCIe SSD Backlit KB FP MaxxAudio Win 10",799.0,1.6 GHz core_i5,,4.0,DDR SDRAM,solid state,True,,1593388800.0,13.3,1920.0,1080.0,8.0,1600.0,512000000.0,SSD,,19.0,dell,xps,windows 10,,i5,1.6,0.46,7.8,11.9,intel,512.0,,intel,intel,True,,,2.7
B08C22VV98,"Newest HP Envy X360 2 in 1 15.6"" FHD Touchscreen Laptop, AMD 4th Gen 8-Core Ryzen 7 4700U (Beat i7-8550U), 16GB RAM, 512GB PCIe SSD, Backlit Keyboard, Fingerprint Reader, Windows 10",959.0,ryzen_7_4700u,,8.0,DDR4 SDRAM,,True,,1593475200.0,15.6,,,16.0,4100.0,,,,7.0,hp,,windows 10,lithium ion,ryzen,,0.7,9.1,14.1,,512.0,,,,True,,,4.34
B08C2KSB8R,"Lenovo IdeaPad 5 15.6"" Laptop Ryzen 7-4700U 16GB RAM 512GB SSD Graphite Grey - AMD Ryzen 7-4700U Octa-core - 1920 x 1080 Full HD Resolution - AMD Radeon Graphics - Intel Wi-Fi 6 - Windows 10 Home",619.99,2 GHz ryzen_7_4700u,,1.0,GDDR4,solid state,True,,1593388800.0,15.6,1920.0,1080.0,16.0,,512000000.0,SSD,,12.0,lenovo,ideapad,windows 10,lithium ion,ryzen,2.0,2.9,12.2,20.2,amd,512.0,,radeon,intel,True,gray,1.0,5.24
B08C35BQHS,"2020 HP Envy x360 2-in-1 Touchscreen Laptop: Ryzen 5 4500U 6-Core up to 4.00 GHz, 512GB SSD, 15.6"" IPS Full HD, 8GB RAM, Backlit Keyboard, Windows 10",499.99,2.4 GHz amd_r_series,1.0,2.0,DDR DRAM,solid state,True,,1593475200.0,15.5,1920.0,2080.0,8.0,,512000000.0,SSD,,,hp,,windows 10,lithium ion,,2.4,0.7,9.6,14.1,amd,512.0,,radeon,amd,True,black,1.0,4.53
B08C4KRFNF,Dell XPS 13 7390 Premium Laptop I 13.3” 4K UHD Touchscreen I 10th Gen Intel 6-Core i7-10710U I 16GB DDR4 1TB SSD I Backlit Fingerprint Wifi6 USB-C MaxxAudio Win10,699.0,1.1 GHz core_i7,,6.0,DDR4 SDRAM,solid state,True,,1593561600.0,13.3,3840.0,2160.0,16.0,,1000000000.0,SSD,,19.0,dell,xps,windows 10,,i7,1.1,0.62,7.8,11.9,intel,,,intel,intel,True,silver,1.0,2.7
B08C6XNSM3,"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD 165Hz Display, AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3050Ti,RGB Backlight, 32GB RAM, 1TB PCIe SSD, Windows 11H /ES 32GB USB",1349.0,3.2 GHz amd_ryzen_7_5800h,,8.0,DDR4 SDRAM,solid state,True,,1593648000.0,15.6,1920.0,1080.0,32.0,4500.0,1000000000.0,SSD,,9.0,lenovo,,windows 10,lithium ion,ryzen,3.2,0.8,10.0,14.3,amd,2000.0,,geforce,nvidia,False,,,4.1
B08CBHYG4L,"HP Prelude Pro Carrying Case for 15.6"" Notebook",20.49,,,,,,False,,1593734400.0,,,,,,,,,,,,,,,,3.1,16.4,17.7,,,,,,,,,0.8375
B08CGF67SY,HP 14-FQ AMD Athlon 3050U 4GB 128GB SSD 14-Inch HD Brightview LED Win 10 S Laptop,298.0,2.3 GHz amd_a_series,,2.0,DDR2 SDRAM,eide,True,,1593993600.0,14.0,1366.0,768.0,4.0,2300.0,128000.0,SSD,,,hp,,windows 10,lithium metal,,2.3,0.71,8.86,12.76,intel,128.0,,radeon,amd,True,black,1.0,4.39
B08CK41B14,"2021 Lenovo IdeaPad 3 15.6"" FHD Laptop Computer, 10th Gen Intel Core i3-1005G1, 8GB RAM, 256GB PCIe SSD, Intel UHD Graphics, Dolby Audio, HD Webcam, HDMI, Windows 10S, Grey, 32GB SnowBell USB Card",429.0,1.2 GHz core_i3_family,,2.0,DDR4 SDRAM,solid state,True,,1594166400.0,15.6,1920.0,1080.0,8.0,,256000000.0,SSD,,,lenovo,,windows 10,,i3,1.2,0.78,9.98,14.26,intel,256.0,,intel,intel,True,gray,1.0,4.07
B08CMB8F7C,"HP 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage, 14-inch HD Display, Windows 10 Home in S Mode, Long Battery Life, Microsoft 365, (14-fq0010nr, 2020)",159.0,2.6 GHz amd_e_series,,2.0,DDR4 SDRAM,solid state,True,1999.0,1595980800.0,14.0,1366.0,768.0,4.0,2600.0,,,,9.0,hp,,windows 10,lithium ion,,2.6,0.71,8.86,12.76,amd,,None,radeon,amd,True,blue,2.0,3.24
B08CMCZJ96,"HP 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage, 14-inch HD Display, Windows 10 Home in S Mode, Long Battery Life, Microsoft 365, (14-fq0020nr, 2020)",234.98,2.6 GHz amd_e_series,,2.0,DDR4 SDRAM,,True,1999.0,1595980800.0,14.0,1366.0,768.0,4.0,2400.0,64000000.0,,,9.0,hp,,windows 10,lithium metal,,2.6,0.71,8.86,12.76,amd,,None,radeon,amd,True,black,2.0,3.24
B08CMJ65Z8,"HP OMEN New 15 Gaming Laptop, 15.6"" Full HD, Intel Core i7-10750H, NVIDIA GeForce RTX 2070 with Max-Q (8 GB), 16 GB DDR4 RAM, 1TB 7200 RPM SATA Hard Drive and 512 GB SSD Storage, RGB Keyboard",1399.0,2.6 GHz core_i7,,6.0,DDR4 SDRAM,solid state,True,,1594252800.0,15.6,1920.0,1080.0,16.0,2600.0,500000000.0,SSD,,6.0,hp,,windows 10,lithium ion,i7,2.6,0.79,10.53,14.17,intel,512.0,,geforce,nvidia,False,black,1.0,5.43
B08CNL2ZKF,"Lenovo ThinkPad E15 Home and Business Laptop (Intel i7-10510U 4-Core, 32GB RAM, 512GB PCIe SSD, Intel UHD Graphics, 15.6"" Full HD (1920x1080), Fingerprint, WiFi, Bluetooth, Win 10 Pro) with USB Hub",1299.0,1.8 GHz core_i7,2.0,4.0,DDR4 SDRAM,usb 3.1,True,,1594252800.0,15.6,1920.0,1080.0,32.0,1800.0,512000000.0,SSD,,,lenovo,thinkpad,windows 10,,i7,1.8,1.0,10.0,15.0,intel,,None,intel,intel,True,,1.0,3.96
B08CPNFCD1,"Lenovo ThinkPad E15 11th Gen Home & Business Laptop (Intel i5-1135G7 4-Core, 32GB RAM, 512GB PCIe SSD,Intel Iris Xe Graphics, 15.6"" 60Hz Full HD (1920x1080), Win 10 Pro) with Hub",899.99,2.4 GHz core_i5,,4.0,DDR4 SDRAM,usb 3.2,True,,1594252800.0,15.6,1920.0,1080.0,32.0,,512000000.0,SSD,,,lenovo,thinkpad,windows 10,lithium ion,i5,2.4,0.74,10.0,14.0,intel,,None,iris,intel,True,,,4.3
B08CQ4JZ8V,"HP 15.6in Laptop (Intel Pentium Quad-Core N5000, 4GB RAM, 500GB Hard Drive, HDMI, WiFi, Bluetooth, HD Webcam, Windows 10 S) (Renewed)",249.99,2.4 GHz pentium_d,,2.0,DDR4 SDRAM,ata,True,,1594252800.0,15.6,1366.0,768.0,4.0,2700.0,500000000.0,HDD,,,hp,,windows 10,lithium ion,pentium,2.4,3.0,12.0,22.0,intel,,,intel,intel,True,,,6.0
B08CQCSM7F,"HP 15.6in Laptop (Intel Pentium Quad-Core N5000, 4GB RAM, 128GB SSD, HDMI, WiFi, Bluetooth, HD Webcam, Windows 10 S) (Renewed)",236.0,1.1 GHz pentium_N5000,2.0,4.0,DDR4 SDRAM,solid state,True,,1594252800.0,15.6,1366.0,768.0,4.0,2700.0,128000000.0,SSD,,,hp,,windows 10,lithium ion,pentium,1.1,3.0,12.0,22.0,intel,128.0,None,intel,intel,True,,,4.7
B08CS54DNG,"HP Chromebook, 2-in-1, 14C-CA0053DX, i3-10110U, 8GB, 64GB, S",427.88,2.1 GHz core_i3_10110u,,2.0,DDR4 SDRAM,solid state,True,,1594339200.0,14.0,1920.0,1080.0,8.0,4100.0,64000000.0,SSD,,,hp,,chrome os,lithium polymer,i3,2.1,0.7,6.8,12.8,intel,,,intel,,True,silver,2.0,3.61
B08CVGJH81,"Lenovo IdeaPad 3 15.6"" HD Laptop PC, Intel 10th Gen Core i3-1005G1 CPU, 8GB DDR4 RAM, 256GB SSD, Camera, WiFi, Bluetooth,Windows 10 S Mode - Abyss Blue- 1-Year McAfee",388.88,3.4 GHz core_i3,,2.0,DDR4 SDRAM,solid state,True,,1594512000.0,15.6,1366.0,768.0,8.0,3400.0,256000000.0,SSD,,,lenovo,,windows 10,lithium polymer,i3,3.4,0.91,9.27,14.11,intel,256.0,,intel,intel,True,blue,2.0,4.07
B08CZ5VDC8,HP 2020 17.3-inch Touchscreen Laptop Computer/ Intel Quad-Core i5-8265U Up to 3.9GHz/ 8GB DDR4 RAM/ 256GB PCIe SSD/ DVD/ Bluetooth 4.2/ AC WiFi/ USB 3.1/ HDMI/ Windows 10 Home/ Silver (Renewed),1538.7,1.6 GHz core_i5,,4.0,DDR4 SDRAM,solid state,False,2014.0,1594771200.0,17.3,1600.0,900.0,8.0,3900.0,256000000.0,SSD,,,hp,,windows 10,,i5,1.6,0.96,10.72,16.33,intel,256.0,,intel,intel,True,,,6.6
B08CZ5WZ5M,"Dell Latitude 5510 Laptop - 15.6"" FHD Display - 1.8 GHz Intel Core i7-10610U Quad-Core - 512GB SSD - 16GB - Windows 10 pro",2199.0,1.8 GHz core_i7,,1.0,DDR4 SDRAM,ata,False,2020.0,1606780800.0,15.6,1920.0,1080.0,16.0,1800.0,256000000.0,SSD,,,dell,latitude,windows 10,lithium ion,i7,1.8,0.95,9.3,14.14,intel,,,intel,intel,True,,,4.0
B08CZZLYM2,"HP 14-inch HD AMD Ryzen 3 3.5GHz 4GB 1TB HDD Radeon Vega 3 Webcam Windows 10 Laptop Sliver (1TB HDD, Silver) (Renewed)",213.99,2.6 GHz ryzen_3_3250u,,2.0,DDR4 SDRAM,ata,True,,1594771200.0,14.0,1366.0,768.0,4.0,3500.0,1000000000.0,HDD,,9.0,hp,,windows 10,lithium ion,ryzen,2.6,0.78,8.89,12.75,amd,,,amd,amd,False,silver,1.0,3.31
B08D3X9RF6,"HP Newest Flagship Chromebook, 11.6"" HD (1366 x 768) Display, Intel Celeron Processor N3350, 4GB LPDDR2, 32GB eMMC, Chrome OS, HD Graphics 500, 11A-NB0013DX, Ash Gray",65.5,1.1 GHz celeron_n3350,,2.0,DDR2 SDRAM,solid state,False,,1594857600.0,11.6,,,4.0,,32000000.0,Hybrid,,12.0,hp,,chrome os,lithium metal,celeron,1.1,0.7,8.2,12.0,intel,,None,intel,intel,True,gray,2.0,3.0
B08D63M8BH,"ASUS VivoBook Flip 14 Thin and Light 2-in-1 Laptop, 14” HD Touchscreen, Intel Celeron N4020 Processor, 4GB DDR4, 64GB Storage, Windows 10 Home in S Mode, Light Grey, TPM, Fingerprint, J401MA-DB02",319.99,2.8 GHz celeron_n4020,,1.0,DDR4 SDRAM,esata,True,2014.0,1594944000.0,14.0,1366.0,768.0,4.0,2800.0,64000000.0,SSD,,,asus,,windows 10,lithium ion,,2.8,0.6,8.9,12.9,intel,,None,intel,intel,,gray,1.0,3.3
B08D65WFJZ,"2020 HP Envy X360 2-in-1 15.6"" FHD IPS Touchscreen Premium Laptop PC | AMD 4th Gen Ryzen 5 Six-Core 4500U | 8GB RAM | 256GB PCIe SSD | Backlit Keyboard | Fingerprint Reader | WiFi 6 | Windows 10",679.0,2 GHz ryzen_5,,6.0,DDR4 SDRAM,solid state,True,,1594944000.0,15.6,1920.0,1080.0,8.0,2300.0,256000000.0,SSD,,7.0,hp,,windows 10,,ryzen,2.0,0.7,9.1,14.1,amd,256.0,,radeon,amd,True,black,1.0,3.92
